R,G,B,x,y
0.12,0.62,0.86,399.78,271.47
0.1,0.63,0.82,448.29,324.63
0.86,0.2,0.1,250.7,197.22
0.13,0.48,0.86,458.48,259.55
0.16,0.3,0.76,490.57,214.31
0.86,0.58,0.12,191.5,284.21
0.85,0.23,0.08,208.54,192.38
0.17,0.25,0.73,394.71,213.54
0.82,0.1,0.31,253.58,110.53
0.84,0.28,0.09,203.61,210.04
0.11,0.7,0.79,383.38,288.64
0.2,0.53,0.73,358.48,245.45
0.16,0.77,0.52,350.58,311.93
0.07,0.34,0.54,578.88,329.51
0.13,0.77,0.53,357.65,328.81
0.16,0.28,0.78,442.8,216.6
0.4,0.22,0.68,351.08,193.35
0.37,0.62,0.53,332.43,249.07
0.2,0.17,0.66,398.93,190.1
0.86,0.46,0.1,240.59,242.28
0.84,0.52,0.12,179.99,268.99
0.12,0.75,0.82,407.4,317.68
0.26,0.14,0.63,394.74,171.07
0.12,0.66,0.88,425.44,290.63
0.51,0.16,0.62,339.01,168.14
0.39,0.5,0.6,335.61,232.7
0.21,0.25,0.72,379.41,209.34
0.7,0.83,0.14,289.88,296.12
0.11,0.45,0.77,514.47,283.31
0.11,0.12,0.46,572.92,161.77
0.12,0.69,0.85,399.31,287.34
0.13,0.4,0.83,415.38,241.31
0.55,0.3,0.08,69.15,281.48
0.84,0.3,0.09,193.25,207.58
0.18,0.75,0.57,350.24,293.51
0.26,0.79,0.41,335.34,304.31
0.13,0.51,0.81,384.91,251.7
0.8,0.12,0.38,263.68,109.62
0.77,0.82,0.08,255.94,351.54
0.74,0.14,0.47,295.15,150.43
0.16,0.31,0.79,466.61,217.69
0.15,0.26,0.75,415.63,216.52
0.11,0.73,0.51,370.76,371.39
0.85,0.57,0.12,184.82,284.15
0.58,0.84,0.12,292.28,329.22
0.24,0.12,0.59,432.79,138.18
0.11,0.72,0.84,419.43,315.62
0.12,0.75,0.83,401.77,306.72
0.1,0.58,0.84,468.77,307.28
0.5,0.16,0.61,357.7,72.63
0.83,0.8,0.08,237.49,355.08
0.71,0.3,0.39,305.24,204.55
0.85,0.09,0.17,228.8,111.96
0.64,0.84,0.09,281.04,346.32
0.12,0.72,0.37,350.67,384.88
0.5,0.15,0.65,364.21,122.24
0.85,0.2,0.08,237.33,198.13
0.1,0.49,0.78,513.2,302.73
0.12,0.63,0.83,390.53,270.7
0.08,0.23,0.54,572.23,257.04
0.79,0.51,0.21,288.86,231.01
0.13,0.38,0.77,511.94,247.7
0.73,0.54,0.1,119.23,353.88
0.35,0.81,0.2,313.04,357.27
0.11,0.59,0.87,462.11,290.79
0.86,0.53,0.1,240.47,254.6
0.12,0.53,0.87,440.2,269.5
0.09,0.55,0.81,489.14,319.23
0.09,0.66,0.54,396.59,385.57
0.82,0.12,0.28,276.62,162.67
0.88,0.64,0.11,230.81,284.15
0.13,0.5,0.81,384.18,250.36
0.83,0.35,0.09,203.97,229.87
0.19,0.53,0.74,359.96,246.63
0.1,0.66,0.77,434.64,346.09
